station_name,location,year_opened,wiggle_ranking
Sudbury Town,"[lon, lat]",0,0.0
Swiss Cottage,"[lon, lat]",0,0.0
Temple,"[lon, lat]",0,0.0
Theydon Bois,"[lon, lat]",0,0.0
Tooting Bec,"[lon, lat]",0,0.0
Tooting Broadway,"[lon, lat]",0,0.0
Tottenham Court Road,"[lon, lat]",0,0.0
Tottenham Hale,"[lon, lat]",0,0.0
Totteridge & Whetstone,"[lon, lat]",0,0.0
Tower Hill,"[lon, lat]",0,0.0
Tuffnell Park,"[lon, lat]",0,0.0
Turnham Green,"[lon, lat]",0,0.0
Turnpike Lane,"[lon, lat]",0,0.0
Upminster,"[lon, lat]",0,0.0
Upminster Bridge,"[lon, lat]",0,0.0
Upney,"[lon, lat]",0,0.0
Upton Park,"[lon, lat]",0,0.0
Uxbridge,"[lon, lat]",0,0.0
Vauxhall,"[lon, lat]",0,0.0
Victoria,"[lon, lat]",0,0.0
Walthamstow Central,"[lon, lat]",0,0.0
Wanstead,"[lon, lat]",0,0.0
Warren Street,"[lon, lat]",0,0.0
Warwick Avenue,"[lon, lat]",0,0.0
Waterloo,"[lon, lat]",0,0.0
Watford,"[lon, lat]",0,0.0
Wembley Central,"[lon, lat]",0,0.0
Wembley Park,"[lon, lat]",0,0.0
West Acton,"[lon, lat]",0,0.0
West Brompton,"[lon, lat]",0,0.0
West Finchley,"[lon, lat]",0,0.0
West Ham,"[lon, lat]",0,0.0
West Hampstead,"[lon, lat]",0,0.0
West Harrow,"[lon, lat]",0,0.0
West Kensington,"[lon, lat]",0,0.0
West Ruislip,"[lon, lat]",0,0.0
Westbourne Park,"[lon, lat]",0,0.0
Westminster,"[lon, lat]",0,0.0
White City,"[lon, lat]",0,0.0
Whitechapel,"[lon, lat]",0,0.0
Wilesden Green,"[lon, lat]",0,0.0
Wilesden Juction,"[lon, lat]",0,0.0
Wimbledon,"[lon, lat]",0,0.0
Wimbledon Park,"[lon, lat]",0,0.0
Wood Green,"[lon, lat]",0,0.0
Wood Lane,"[lon, lat]",0,0.0
Woodford,"[lon, lat]",0,0.0
Woodside Park,"[lon, lat]",0,0.0
