station_name,from_station,to_station,heading_west,travel_time_seconds,distance_km,uuid
Plaistow,D52,D51,True,0,0,a9bd0d1f-c75e-441e-b720-a5e76474b7d4
Plaistow,D52,D53,False,0,0,377ccd98-1b7d-46a2-a072-6f51280a55d4
Upton Park,D53,D52,True,0,0,ed337e07-58d3-400c-a845-84e5184fcc81
Upton Park,D53,D54,False,0,0,36eed280-5d39-47a4-9b41-3a34e54e3cba
East Ham,D54,D53,True,0,0,2bb7a45a-adc3-4bdd-b0d3-aef9d0e4b944
East Ham,D54,D55,False,0,0,587c8399-029f-41e7-ab49-118373a96e01
Barking,D55,D54,True,0,0,b49a8528-be49-4c29-91f5-67dfccdc3079
Barking,D55,D56,False,0,0,42609e25-f731-4fb0-ac1d-a63bd333e418
Upney,D56,D55,True,0,0,5164b6fc-7b7e-4f3e-b8b0-837462a9429b
Upney,D56,D57,False,0,0,5249ae3c-d5b7-4ddd-a225-24731373e0cc
Becontree,D57,D56,True,0,0,558d8920-391e-45dc-912f-e1edb2600886
Becontree,D57,D58,False,0,0,cfe6ed4c-6dfd-4c8d-8fb2-378e7ebc79d0
Dagenham Heathway,D58,D57,True,0,0,7d015b52-e0ed-4e8a-8a42-06e18247478b
Dagenham Heathway,D58,D59,False,0,0,575ba385-9eb0-48ad-b529-cca4df1ef3ff
Dagenham East,D59,D58,True,0,0,65eb38c9-2574-4620-a9d5-f8d7e734ab4e
Dagenham East,D59,D60,False,0,0,e2bbe9af-5afa-49b8-b8e2-6c0048432a6b
Elm Park,D60,D59,True,0,0,ce6cd876-437f-4c33-af68-d53536c77290
Elm Park,D60,D61,False,0,0,211c649e-8b49-4918-b7eb-cf3b0c531a04
Hornchurch,D61,D60,True,0,0,d899d5cd-7256-4a33-8743-6078f90a63eb
Hornchurch,D61,D62,False,0,0,9a997430-935f-4e8f-8330-214974526b2a
Upminster Bridge,D62,D61,True,0,0,524583b2-2c05-4776-91dd-1e6c0bf7b144
Upminster Bridge,D62,D63,False,0,0,51c71249-fd55-4607-a3bc-b33f161385b0
Upminster,D63,D62,True,0,0,ff16d8d3-8edd-48f0-b656-4d6f9b9dae4f
